period,value
2001-10-17,22.25
2001-10-18,21.77
2001-10-19,22.41
2001-10-22,22.44
2001-10-23,22.15
2001-10-24,22.58
2001-10-25,22.29
2001-10-26,22.31
2001-10-29,22.38
2001-10-30,22.07
2001-10-31,21.46
2001-11-01,20.75
2001-11-02,20.59
2001-11-05,20.4
2001-11-06,20.25
2001-11-07,20.4
2001-11-08,21.43
2001-11-09,22.51
2001-11-12,21.64
2001-11-13,21.97
2001-11-14,20.15
2001-11-15,18.06
2001-11-16,18.59
2001-11-19,18.66
2001-11-20,19.51
2001-11-21,19.33
2001-11-26,19.03
2001-11-27,19.74
2001-11-28,19.64
2001-11-29,19.16
2001-11-30,19.84
2001-12-03,20.53
2001-12-04,20.19
2001-12-05,20.04
2001-12-06,19.17
2001-12-07,19.73
2001-12-10,19.08
2001-12-11,18.76
2001-12-12,18.98
2001-12-13,18.77
2001-12-14,19.68
2001-12-17,19.7
2001-12-18,19.79
2001-12-19,20.16
2001-12-20,19.71
2001-12-21,19.99
2001-12-26,21.55
2001-12-27,21.24
2001-12-28,20.8
2001-12-31,20.27
2002-01-02,21.34
2002-01-03,20.77
2002-01-04,22.02
2002-01-07,21.94
2002-01-08,21.73
2002-01-09,20.88
2002-01-10,21.16
2002-01-11,20.61
2002-01-14,19.74
2002-01-15,19.74
2002-01-16,19.84
2002-01-17,19.03
2002-01-18,19.06
2002-01-22,19.34
2002-01-23,19.91
2002-01-24,20.05
2002-01-25,20.36
2002-01-28,20.48
2002-01-29,20.08
2002-01-30,19.69
2002-01-31,20.07
2002-02-01,20.84
2002-02-04,20.56
2002-02-05,20.53
2002-02-06,20.29
2002-02-07,20.2
2002-02-08,20.79
2002-02-11,21.94
2002-02-12,21.26
2002-02-13,21.62
2002-02-14,21.63
2002-02-15,21.82
2002-02-19,21.27
2002-02-20,20.62
2002-02-21,21.19
2002-02-22,21.26
2002-02-25,20.76
2002-02-26,21.62
2002-02-27,21.59
2002-02-28,22.04
2002-03-01,22.71
2002-03-04,22.75
2002-03-05,23.49
2002-03-06,23.51
2002-03-07,24.04
2002-03-08,24.22
2002-03-11,24.73
2002-03-12,24.63
2002-03-13,24.62
2002-03-14,24.93
2002-03-15,24.92
2002-03-18,25.51
2002-03-19,25.4
2002-03-20,25.1
2002-03-21,25.63
2002-03-22,25.46
2002-03-25,25.2
2002-03-26,25.51
2002-03-27,25.95
2002-03-28,26.32
2002-04-01,26.91
2002-04-02,27.72
2002-04-03,27.56
2002-04-04,26.74
2002-04-05,26.3
2002-04-08,26.55
2002-04-09,25.87
2002-04-10,26.07
2002-04-11,25.01
2002-04-12,23.58
2002-04-15,24.66
2002-04-16,24.88
2002-04-17,25.79
2002-04-18,25.94
2002-04-19,26.16
2002-04-22,26.19
2002-04-23,26.01
2002-04-24,25.83
2002-04-25,26.11
2002-04-26,26.43
2002-04-29,26.77
2002-04-30,26.65
2002-05-01,26.18
2002-05-02,25.66
2002-05-03,26.01
2002-05-06,25.55
2002-05-07,25.91
2002-05-08,26.65
2002-05-09,26.64
2002-05-10,26.91
2002-05-13,27.29
2002-05-14,28.02
2002-05-15,26.93
2002-05-16,26.93
2002-05-17,27
2002-05-20,27.1
2002-05-21,26.41
2002-05-22,26.23
2002-05-23,26.13
2002-05-24,25.95
2002-05-28,25.38
2002-05-29,25.78
2002-05-30,24.79
2002-05-31,25.24
2002-06-03,25.11
2002-06-04,25.34
2002-06-05,25.05
2002-06-06,25.03
2002-06-07,25.06
2002-06-10,24.62
2002-06-11,24.5
2002-06-12,24.9
2002-06-13,25.85
2002-06-14,26.1
2002-06-17,26.14
2002-06-18,25.56
2002-06-19,25.51
2002-06-20,25.9
2002-06-21,25.62
2002-06-24,26.14
2002-06-25,25.9
2002-06-26,26.16
2002-06-27,26.34
2002-06-28,26.45
2002-07-01,26.48
2002-07-02,26.42
2002-07-03,26.42
2002-07-08,25.87
2002-07-09,25.87
2002-07-10,26.47
2002-07-11,26.52
2002-07-12,27.07
2002-07-15,26.7
2002-07-16,27.39
2002-07-17,27.54
2002-07-18,27.26
2002-07-19,27.44
2002-07-22,26.39
2002-07-23,25.85
2002-07-24,26.18
2002-07-25,26.2
2002-07-26,25.96
2002-07-29,25.94
2002-07-30,26.59
2002-07-31,26.23
2002-08-01,25.84
2002-08-02,26.12
2002-08-05,25.81
2002-08-06,26.34
2002-08-07,25.82
2002-08-08,25.96
2002-08-09,26.07
2002-08-12,26.79
2002-08-13,26.79
2002-08-14,27.06
2002-08-15,27.86
2002-08-16,27.97
2002-08-19,28.22
2002-08-20,28.2
2002-08-21,28.08
2002-08-22,27.94
2002-08-23,27.91
2002-08-26,28.54
2002-08-27,28.37
2002-08-28,28.12
2002-08-29,28.56
2002-08-30,28.58
2002-09-03,27.65
2002-09-04,28.12
2002-09-05,28.83
2002-09-06,29.36
2002-09-09,29.56
2002-09-10,29.66
2002-09-11,29.7
2002-09-12,28.87
2002-09-13,29.76
2002-09-16,29.76
2002-09-17,29.18
2002-09-18,29.49
2002-09-19,29.63
2002-09-20,29.68
2002-09-23,29.97
2002-09-24,29.92
2002-09-25,29.79
2002-09-26,29.76
2002-09-27,29.78
2002-09-30,29.75
2002-10-01,29.97
2002-10-02,29.8
2002-10-03,29.28
2002-10-04,29.21
2002-10-07,29.3
2002-10-08,29.15
2002-10-09,29.1
2002-10-10,28.71
2002-10-11,28.98
2002-10-14,29.44
2002-10-15,29.28
2002-10-16,29.1
2002-10-17,29.24
2002-10-18,29.18
2002-10-21,27.96
2002-10-22,27.7
2002-10-23,27.42
2002-10-24,27.39
2002-10-25,26.3
2002-10-28,26.49
2002-10-29,26.17
2002-10-30,26.25
2002-10-31,26.53
2002-11-01,26.35
2002-11-04,26.07
2002-11-05,25.33
2002-11-06,25
2002-11-07,24.63
2002-11-08,24.77
2002-11-11,24.96
2002-11-12,24.94
2002-11-13,24.21
2002-11-14,24.26
2002-11-15,24.5
2002-11-18,25.56
2002-11-19,25.34
2002-11-20,25.89
2002-11-21,25.92
2002-11-22,26.33
2002-11-25,25.84
2002-11-26,26.07
2002-11-27,26.44
2002-12-02,26.71
2002-12-03,26.82
2002-12-04,26.28
2002-12-05,26.8
2002-12-06,26.6
2002-12-09,26.86
2002-12-10,27.4
2002-12-11,27.04
2002-12-12,27.56
2002-12-13,27.93
2002-12-16,29.42
2002-12-17,29.24
2002-12-18,29.63
2002-12-19,29.6
2002-12-20,28.86
2002-12-23,29.87
2002-12-24,29.95
2002-12-26,30.37
2002-12-27,30.49
2002-12-30,29.46
2002-12-31,29.46
2003-01-02,29.91
2003-01-03,30.84
2003-01-06,30.17
2003-01-07,29.63
2003-01-08,29.29
2003-01-09,30.32
2003-01-10,30
2003-01-13,30.64
2003-01-14,30.96
2003-01-15,31.52
2003-01-16,31.83
2003-01-17,31.96
2003-01-21,32.01
2003-01-22,30.77
2003-01-23,30.46
2003-01-24,31.12
2003-01-27,30.49
2003-01-28,30.94
2003-01-29,31.72
2003-01-30,31.95
2003-01-31,31.8
2003-02-03,31.34
2003-02-04,32.04
2003-02-05,32.37
2003-02-06,32.4
2003-02-07,33.13
2003-02-10,32.6
2003-02-11,33.27
2003-02-12,33.35
2003-02-13,33.92
2003-02-14,34.04
2003-02-18,34.12
2003-02-19,34.21
2003-02-20,33.46
2003-02-21,32.92
2003-02-24,33.54
2003-02-25,32.97
2003-02-26,33.56
2003-02-27,33.51
2003-02-28,33.28
2003-03-03,32.85
2003-03-04,33.29
2003-03-05,33.36
2003-03-06,33.76
2003-03-07,34.43
2003-03-10,34.32
2003-03-11,34.06
2003-03-12,34.67
2003-03-13,33.17
2003-03-14,31.96
2003-03-17,31.09
2003-03-18,28.97
2003-03-19,28.54
2003-03-20,27.27
2003-03-21,25.91
2003-03-24,27.06
2003-03-25,26.06
2003-03-26,26.23
2003-03-27,27.49
2003-03-28,27.44
2003-03-31,28.22
2003-04-01,27.42
2003-04-02,26.64
2003-04-03,26.62
2003-04-04,26.26
2003-04-07,25.91
2003-04-08,26.11
2003-04-09,27.07
2003-04-10,26.34
2003-04-11,26.73
2003-04-14,26.61
2003-04-15,27
2003-04-16,27.08
2003-04-17,27.99
2003-04-21,28.17
2003-04-22,27.48
2003-04-23,26.01
2003-04-24,26.09
2003-04-25,25.9
2003-04-28,25.29
2003-04-29,25.01
2003-04-30,25.29
2003-05-01,25.65
2003-05-02,25.31
2003-05-05,26.09
2003-05-06,25.47
2003-05-07,25.91
2003-05-08,26.39
2003-05-09,26.85
2003-05-12,26.64
2003-05-13,27.52
2003-05-14,28.18
2003-05-15,27.86
2003-05-16,28.1
2003-05-19,27.64
2003-05-20,27.66
2003-05-21,27.51
2003-05-22,27.35
2003-05-23,27.56
2003-05-27,27.7
2003-05-28,27.04
2003-05-29,27.38
2003-05-30,27.75
2003-06-02,28.67
2003-06-03,28.65
2003-06-04,28.14
2003-06-05,28.83
2003-06-06,29.45
2003-06-09,29.66
2003-06-10,29.84
2003-06-11,30.18
2003-06-12,29.55
2003-06-13,28.68
2003-06-16,28.98
2003-06-17,28.85
2003-06-18,28.26
2003-06-19,28.09
2003-06-20,28.98
2003-06-23,28.33
2003-06-24,27.97
2003-06-25,28.87
2003-06-26,28.15
2003-06-27,28.52
2003-06-30,29.27
2003-07-01,29.45
2003-07-02,29.21
2003-07-03,29.4
2003-07-07,29.2
2003-07-08,29.41
2003-07-09,30.09
2003-07-10,30.18
2003-07-11,30.45
2003-07-14,30.45
2003-07-15,30.5
2003-07-16,29.85
2003-07-17,30.16
2003-07-18,30.49
2003-07-21,30.4
2003-07-22,29.13
2003-07-23,28.95
2003-07-24,29.4
2003-07-25,29.38
2003-07-28,29.3
2003-07-29,29.39
2003-07-30,29.82
2003-07-31,29.78
2003-08-01,31.36
2003-08-04,30.99
2003-08-05,31.36
2003-08-06,30.97
2003-08-07,31.68
2003-08-08,31.55
2003-08-11,31.42
2003-08-12,31.35
2003-08-13,30.45
2003-08-14,30.63
2003-08-15,30.64
2003-08-18,30.54
2003-08-19,30.43
2003-08-20,30.75
2003-08-21,31.01
2003-08-22,31.05
2003-08-25,30.9
2003-08-26,31.04
2003-08-27,30.46
2003-08-28,30.77
2003-08-29,30.83
2003-09-02,29
2003-09-03,29.13
2003-09-04,28.67
2003-09-05,28.58
2003-09-08,28.64
2003-09-09,28.94
2003-09-10,29.13
2003-09-11,28.69
2003-09-12,28.16
2003-09-15,28.02
2003-09-16,27.47
2003-09-17,26.97
2003-09-18,26.98
2003-09-19,26.82
2003-09-22,27
2003-09-23,26.65
2003-09-24,27.6
2003-09-25,27.72
2003-09-26,27.56
2003-09-29,27.79
2003-09-30,28.48
2003-10-01,28.73
2003-10-02,29.1
2003-10-03,29.63
2003-10-06,29.84
2003-10-07,29.99
2003-10-08,29.59
2003-10-09,30.72
2003-10-10,31.55
2003-10-13,31.6
2003-10-14,31.46
2003-10-15,31.48
2003-10-16,31.31
2003-10-17,30.42
2003-10-20,30.09
2003-10-21,29.95
2003-10-22,29.24
2003-10-23,29.57
2003-10-24,29.51
2003-10-27,29.37
2003-10-28,29.07
2003-10-29,28.48
2003-10-30,28.02
2003-10-31,28.57
2003-11-03,28.47
2003-11-04,28.34
2003-11-05,29.76
2003-11-06,29.58
2003-11-07,30.13
2003-11-10,30.19
2003-11-11,30.51
2003-11-12,30.5
2003-11-13,31
2003-11-14,31.33
2003-11-17,30.91
2003-11-18,32.27
2003-11-19,31.64
2003-11-20,31.42
2003-11-21,30.67
2003-11-24,29.08
2003-11-25,29.18
2003-11-26,29.84
2003-12-01,29.47
2003-12-02,30.22
2003-12-03,30.49
2003-12-04,30.7
2003-12-05,30.25
2003-12-08,31.56
2003-12-09,31.12
2003-12-10,31.32
2003-12-11,31.29
2003-12-12,32.36
2003-12-15,32.62
2003-12-16,32.36
2003-12-17,32.85
2003-12-18,33.24
2003-12-19,32.55
2003-12-22,31.01
2003-12-23,31.07
2003-12-24,31.88
2003-12-29,31.53
2003-12-30,31.89
2003-12-31,31.83
2004-01-05,33.01
2004-01-06,33.04
2004-01-07,32.97
2004-01-08,33.28
2004-01-09,33.55
2004-01-12,33.89
2004-01-13,33.52
2004-01-14,33.31
2004-01-15,32.11
2004-01-16,33.51
2004-01-20,34.31
2004-01-21,33.42
2004-01-22,33.68
2004-01-23,33.37
2004-01-26,32.99
2004-01-27,32.61
2004-01-28,32.16
2004-01-29,31.52
2004-01-30,31.49
2004-02-02,32.75
2004-02-03,32.04
2004-02-04,31.32
2004-02-05,31.6
2004-02-06,31.21
2004-02-09,31.49
2004-02-10,32.41
2004-02-11,32.64
2004-02-12,32.89
2004-02-13,33.53
2004-02-17,34.34
2004-02-18,33.93
2004-02-19,34.06
2004-02-20,33.6
2004-02-23,32.88
2004-02-24,32.85
2004-02-25,33.59
2004-02-26,33.78
2004-02-27,34.42
2004-03-01,35.35
2004-03-02,35.23
2004-03-03,34.32
2004-03-04,34.98
2004-03-05,35.52
2004-03-08,34.94
2004-03-09,34.6
2004-03-10,34.53
2004-03-11,35.28
2004-03-12,34.79
2004-03-15,35.84
2004-03-16,35.8
2004-03-17,36.72
2004-03-18,36.54
2004-03-19,36.73
2004-03-22,36.27
2004-03-23,35.95
2004-03-24,35.64
2004-03-25,34.26
2004-03-26,34.31
2004-03-29,34.1
2004-03-30,34.91
2004-03-31,34.55
2004-04-01,33.29
2004-04-02,33.44
2004-04-05,33.44
2004-04-06,33.91
2004-04-07,35.07
2004-04-08,36.05
2004-04-12,36.72
2004-04-13,36.26
2004-04-14,36.09
2004-04-15,36.74
2004-04-16,36.63
2004-04-19,36.4
2004-04-20,36.06
2004-04-21,34.95
2004-04-22,35.86
2004-04-23,35.65
2004-04-26,36.2
2004-04-27,36.82
2004-04-28,36.72
2004-04-29,36.66
2004-04-30,36.71
2004-05-03,37.58
2004-05-04,38.24
2004-05-05,38.79
2004-05-06,38.62
2004-05-07,39.13
2004-05-10,38.2
2004-05-11,39.38
2004-05-12,40.04
2004-05-13,40.42
2004-05-14,40.76
2004-05-17,40.97
2004-05-18,39.92
2004-05-19,41
2004-05-20,40.4
2004-05-21,39.01
2004-05-24,40.64
2004-05-25,40.12
2004-05-26,39.89
2004-05-27,38.91
2004-05-28,39.35
2004-06-01,41.77
2004-06-02,39.64
2004-06-03,39.02
2004-06-04,38.38
2004-06-07,38.59
2004-06-08,37.32
2004-06-09,37.65
2004-06-10,38.55
2004-06-14,37.83
2004-06-15,37.44
2004-06-16,37.63
2004-06-17,38.82
2004-06-18,39.01
2004-06-21,37.8
2004-06-22,38.25
2004-06-23,37.41
2004-06-24,37.79
2004-06-25,37.39
2004-06-28,36.2
2004-06-29,35.65
2004-06-30,36.99
2004-07-01,38.6
2004-07-02,38.24
2004-07-06,39.46
2004-07-07,38.89
2004-07-08,40.07
2004-07-09,39.61
2004-07-12,39.2
2004-07-13,39.1
2004-07-14,40.57
2004-07-15,40.41
2004-07-16,40.82
2004-07-19,40.88
2004-07-20,39.88
2004-07-21,39.68
2004-07-22,40.46
2004-07-23,40.87
2004-07-26,40.58
2004-07-27,40.84
2004-07-28,41.81
2004-07-29,41.64
2004-07-30,42.49
2004-08-02,42.63
2004-08-03,43.14
2004-08-04,41.84
2004-08-05,43.22
2004-08-06,43
2004-08-09,43.96
2004-08-10,43.6
2004-08-11,43.89
2004-08-12,44.5
2004-08-13,45.61
2004-08-16,45.29
2004-08-17,45.81
2004-08-18,45.93
2004-08-19,47.23
2004-08-20,46.34
2004-08-23,45.22
2004-08-24,44.46
2004-08-25,42.78
2004-08-26,42.38
2004-08-27,42.68
2004-08-30,41.82
2004-08-31,41.75
2004-09-01,43.65
2004-09-02,43.68
2004-09-03,43.63
2004-09-07,43.01
2004-09-08,42.52
2004-09-09,44.2
2004-09-10,42.44
2004-09-13,43.36
2004-09-14,43.87
2004-09-15,43.1
2004-09-16,43.52
2004-09-17,45.02
2004-09-20,45.59
2004-09-21,46.16
2004-09-22,46.89
2004-09-23,47.07
2004-09-24,47.42
2004-09-27,48.26
2004-09-28,48.49
2004-09-29,48.27
2004-09-30,48.58
2004-10-01,49.06
2004-10-04,48.92
2004-10-05,50.03
2004-10-06,50.89
2004-10-07,51.61
2004-10-08,52.36
2004-10-11,52.79
2004-10-12,51.67
2004-10-13,52.62
2004-10-14,53.47
2004-10-15,53.4
2004-10-18,52.31
2004-10-19,52.14
2004-10-20,53.93
2004-10-21,53.45
2004-10-22,54.04
2004-10-25,53.6
2004-10-26,54.25
2004-10-27,51.81
2004-10-28,50.45
2004-10-29,51.31
2004-11-01,49.73
2004-11-02,49.32
2004-11-03,50.51
2004-11-04,48.67
2004-11-05,49.48
2004-11-08,49.07
2004-11-09,47.56
2004-11-10,48.84
2004-11-11,47.58
2004-11-12,47.43
2004-11-15,47.02
2004-11-16,46.29
2004-11-17,47.23
2004-11-18,46.47
2004-11-19,48.85
2004-11-22,48.6
2004-11-23,49.06
2004-11-24,49.37
2004-11-29,49.77
2004-11-30,49.18
2004-12-01,45.76
2004-12-02,43.58
2004-12-03,42.83
2004-12-06,43.29
2004-12-07,41.95
2004-12-08,42.47
2004-12-09,43.16
2004-12-10,41.64
2004-12-13,42.14
2004-12-14,42.68
2004-12-15,44.83
2004-12-16,44.68
2004-12-17,46.63
2004-12-20,45.81
2004-12-21,45.49
2004-12-22,44.1
2004-12-23,44.08
2004-12-27,41.55
2004-12-28,42.01
2004-12-29,43.74
2004-12-30,43.57
2005-01-03,42.37
2005-01-04,44.05
2005-01-05,43.55
2005-01-06,45.63
2005-01-07,45.47
2005-01-10,45.34
2005-01-11,45.64
2005-01-12,46.25
2005-01-13,47.82
2005-01-14,48.18
2005-01-18,48.28
2005-01-19,47.71
2005-01-20,47.26
2005-01-21,48.37
2005-01-24,48.76
2005-01-25,49.7
2005-01-26,48.95
2005-01-27,49.06
2005-01-28,47.52
2005-01-31,48.5
2005-02-01,47.79
2005-02-02,47.34
2005-02-03,47.1
2005-02-04,47.15
2005-02-07,46.26
2005-02-08,46.36
2005-02-09,46.36
2005-02-10,47.92
2005-02-11,48.05
